county_ansi,year,pcp_win,pcp_prevND,tmin04,tmin05,tmin09,tmin10,tmax07,tmax08,tmax_jja,pdsi06,pdsi07,pdsi08,pdsi_jja,pdsi_may,zndx07,zndx08,zndx_jja
001,1997,8.73,7.720000000000001,33.9,43.7,52.2,41.9,82.8,78.3,79.86666666666667,3.06,3.65,3.75,3.486666666666667,3.15,2.72,1.43,1.6133333333333333
001,1998,6.039999999999999,4.0,40.5,55.2,56.3,44.0,82.9,83.3,82.23333333333333,2.47,3.63,4.56,3.5533333333333332,2.11,4.23,3.89,3.2900000000000005
001,1999,7.470000000000001,2.8499999999999996,40.9,50.9,50.2,40.7,89.6,81.6,84.53333333333333,-1.11,-2.21,-2.39,-1.9033333333333335,-0.45,-3.64,-1.24,-2.3333333333333335
001,2000,6.05,3.54,38.7,52.3,52.0,45.4,81.6,80.6,80.43333333333332,1.5,1.05,1.71,1.42,0.18,-0.88,2.28,1.8066666666666666
001,2001,5.7,4.56,42.3,52.0,51.4,43.8,84.2,83.3,82.10000000000001,0.08,0.9,1.13,0.7033333333333333,0.4,2.47,0.99,0.8800000000000002
001,2002,6.93,4.98,41.5,46.4,56.2,41.7,88.6,84.8,85.53333333333335,-0.85,-1.19,-1.29,-1.11,2.73,-1.27,-0.67,-1.4966666666666668
001,2003,5.51,4.82,39.0,48.7,51.8,40.5,82.2,82.5,80.39999999999999,1.72,4.25,5.01,3.66,1.73,8.11,3.61,4.073333333333333
001,2004,5.390000000000001,5.07,40.8,54.0,54.7,43.1,80.8,77.7,78.93333333333334,2.66,3.2,4.55,3.47,2.04,2.45,5.03,3.33
001,2005,11.559999999999999,6.36,40.5,45.4,56.2,44.9,85.4,84.7,84.73333333333333,-1.55,-1.49,-1.84,-1.6266666666666667,-1.03,-0.29,-1.5,-1.2266666666666666
001,2006,7.34,6.7,41.9,48.9,51.1,40.8,84.5,82.8,82.46666666666665,0.45,0.45,0.35,0.4166666666666667,0.73,0.13,-0.15,-0.20666666666666667
001,2007,11.92,6.65,37.6,51.9,55.2,49.5,82.9,85.5,84.23333333333333,-2.21,-2.62,1.72,-1.0366666666666668,-1.32,-1.91,5.17,0.05999999999999991
001,2008,11.209999999999999,8.18,40.6,45.9,54.6,40.5,83.4,82.5,82.63333333333334,3.32,2.93,2.01,2.7533333333333334,3.16,-0.15,-1.84,-0.17666666666666667
001,2009,9.64,6.930000000000001,40.2,49.3,53.7,40.9,79.3,80.6,80.1,-0.12,-0.33,-0.48,-0.31,-0.2,-0.67,-0.55,-0.34
001,2010,5.26,4.22,43.9,52.4,53.9,42.8,86.9,85.1,84.93333333333332,1.87,1.76,1.78,1.8033333333333335,1.13,0.24,0.61,1.14
001,2011,6.6,5.74,39.8,51.7,52.8,42.0,90.8,83.8,85.43333333333334,2.52,0.94,1.15,1.5366666666666664,3.18,-3.94,0.92,-1.3399999999999999
001,2012,9.5,10.35,39.2,54.0,52.3,41.7,90.6,82.4,86.0,-3.47,-3.65,0.74,-2.1266666666666665,-2.45,-1.62,2.23,-1.0699999999999998
001,2013,8.959999999999999,3.58,37.7,53.2,52.0,43.2,81.7,80.9,81.00000000000001,1.51,1.75,1.56,1.6066666666666667,1.57,1.18,-0.01,0.49333333333333335
001,2014,8.27,6.0600000000000005,39.2,50.3,51.6,43.3,79.1,81.2,80.60000000000001,1.54,1.56,2.44,1.8466666666666667,0.98,0.54,3.14,1.89
001,2015,5.09,4.92,39.4,52.8,57.0,44.5,81.0,80.6,79.8,5.14,6.91,6.77,6.273333333333333,1.63,6.9,1.71,6.553333333333335
001,2016,7.68,7.359999999999999,38.4,49.2,57.5,47.9,84.7,84.2,83.86666666666667,2.37,1.54,2.14,2.016666666666667,2.74,-1.77,2.28,0.0866666666666666
001,2017,8.370000000000001,4.04,43.9,48.5,54.4,47.6,82.0,79.5,80.96666666666667,2.86,3.48,3.22,3.186666666666667,2.84,2.73,0.31,1.3299999999999998
001,2018,5.99,6.510000000000001,32.4,55.4,58.8,44.0,82.9,82.2,82.16666666666667,2.37,1.99,3.91,2.7566666666666664,1.6,-0.42,6.39,2.9266666666666663
001,2019,8.53,6.54,40.1,51.3,58.4,44.0,86.5,80.6,82.16666666666667,5.26,5.02,4.77,5.016666666666667,5.85,0.89,0.8,0.5766666666666667
001,2020,9.58,4.72,36.6,48.4,52.0,41.4,87.4,82.0,84.0,-0.44,-0.64,-0.91,-0.6633333333333334,2.69,-0.75,-1.0,-1.02
001,2021,4.46,4.0,39.9,47.7,55.7,51.2,82.4,84.0,82.86666666666667,0.22,0.73,0.76,0.57,0.21,1.59,0.34,0.6666666666666666
001,2022,7.79,5.220000000000001,37.1,53.5,54.2,39.2,84.1,82.4,83.86666666666666,1.14,2.22,0.02,1.1266666666666667,2.1,3.6,0.07,0.4766666666666666
001,2023,8.780000000000001,3.67,39.2,47.3,54.0,45.3,84.2,80.3,81.5,-1.31,0.44,-0.03,-0.30000000000000004,-0.92,1.32,-0.09,-0.06666666666666662
001,2024,7.0,2.56,43.2,54.5,54.5,42.9,82.7,83.7,83.53333333333335,-1.08,-1.39,-1.42,-1.2966666666666666,-0.51,-1.26,-0.51,-1.22
001,2025,6.75,6.4,39.9,48.1,53.1,43.8,87.1,80.9,83.8,-1.74,-1.31,-1.82,-1.6233333333333333,-1.43,0.74,-1.94,-0.8566666666666668
001,2026,3.34,3.16,45.4,47.4,,,86.2,81.6,82.83333333333333,-2.84,-2.89,2.63,-1.0333333333333334,-3.51,-1.0,6.71,2.2033333333333336
003,1895,,,39.3,48.7,55.8,32.0,85.5,85.7,85.39999999999999,-3.34,-4.0,-4.15,-3.83,-2.56,-3.02,-1.67,-2.61
003,1896,8.73,10.08,43.8,55.3,50.1,36.1,83.3,81.7,81.89999999999999,0.57,3.96,5.01,3.1799999999999997,0.54,10.35,4.38,4.989999999999999
003,1897,6.07,3.59,36.5,44.9,49.6,42.3,86.8,80.0,81.39999999999999,3.22,-0.53,-0.33,0.7866666666666667,3.28,-1.58,0.43,-0.11000000000000004
003,1898,7.85,7.06,34.3,49.8,54.9,42.8,87.6,81.9,84.06666666666668,1.32,1.54,1.12,1.3266666666666669,2.02,1.05,-0.78,-0.39666666666666667
003,1899,6.6,5.3,40.6,50.4,50.7,43.7,85.2,84.8,84.5,-1.89,-1.5,-1.55,-1.6466666666666665,-1.24,0.6,-0.62,-0.7833333333333333
003,1900,8.54,4.95,37.4,49.7,54.5,45.6,82.8,85.7,82.56666666666666,1.05,1.85,2.19,1.6966666666666665,-0.71,2.73,1.58,2.486666666666667
003,1901,3.75,4.779999999999999,34.5,46.0,50.6,39.1,90.5,84.0,85.76666666666667,-0.63,-1.42,-1.5,-1.1833333333333333,-0.32,-2.56,-0.68,-1.4233333333333331
003,1902,4.51,4.43,35.1,48.8,48.9,43.2,83.4,78.7,79.10000000000001,1.99,1.89,1.22,1.7,-2.27,0.3,-1.41,1.6233333333333333
003,1903,8.89,6.02,36.1,49.2,49.5,40.3,83.2,79.2,78.56666666666666,2.46,2.38,2.72,2.52,2.31,0.52,1.76,1.1500000000000001
003,1904,10.11,3.7399999999999998,32.3,47.5,51.3,38.1,81.7,79.7,79.43333333333334,2.86,2.82,3.34,3.0066666666666664,3.73,0.77,2.41,0.5800000000000001
003,1905,5.29,2.02,35.3,46.6,51.8,38.6,82.4,81.8,81.16666666666667,1.98,1.83,2.05,1.9533333333333331,1.34,0.16,1.22,1.24
003,1906,4.54,5.1899999999999995,37.9,49.0,54.5,40.6,83.7,85.2,82.83333333333333,-0.03,-0.03,0.77,0.23666666666666666,-1.19,0.0,2.32,0.7399999999999999
003,1907,8.11,6.18,29.1,40.8,51.2,35.1,82.4,79.8,79.26666666666667,2.09,2.8,2.68,2.5233333333333334,1.36,2.77,0.5,1.9566666666666668
003,1908,10.690000000000001,6.74,37.3,50.2,51.6,37.1,84.9,83.5,82.96666666666667,-0.82,-1.08,-1.13,-1.01,3.68,-1.02,-0.5,-1.33
003,1909,9.18,2.87,33.5,45.7,48.1,33.5,81.7,83.9,81.4,2.1,1.71,2.09,1.9666666666666668,1.31,-0.52,1.67,1.3099999999999998
003,1910,7.0,6.68,36.4,42.6,52.2,41.8,85.6,82.5,82.3,-2.59,-2.45,0.28,-1.5866666666666667,-1.82,-0.38,0.84,-0.81
