model,member,scenario,horizon,year_start,year_end,fips5,month,d_tas_C,d_tasmax_C,pr_ratio
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17015,6,2.6779610947328933,3.1721875006683717,1.0526354752638343
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17023,6,2.799138730082234,3.100579817267999,1.1461201960042189
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17033,6,2.7961263531234977,3.083910373887022,1.1117599080347624
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17037,6,2.7786592035014905,3.1461983170800067,1.0191864143168312
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17041,6,2.792245883157875,3.1111142771347886,1.1306141993197396
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17043,6,2.835279221452936,3.1090284670899564,1.0186501185951886
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17047,6,2.7650207944889758,3.029784189846964,1.054295994575397
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17051,6,2.762718475473662,3.0776841489367257,1.0559247618400638
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17053,6,2.800674525165107,3.11351999576101,1.079179349810682
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17057,6,2.6945348566748066,3.110959612677732,1.008956654388257
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17063,6,2.7984692808254863,3.1081406817583,1.0201530848171791
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17131,6,2.6410127334285107,3.1028087736508496,1.0167833528968495
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17081,6,2.72790174193824,3.004907275562914,1.035803103402246
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17091,6,2.8234888961043794,3.1087830204404554,1.0443897553012558
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17093,6,2.7994588270213967,3.113435025229819,1.0041685454317908
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17099,6,2.754343475684095,3.1292298915329297,1.0122151308224392
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17101,6,2.793913559805276,3.0704538606998995,1.0848129687884274
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17105,6,2.7846147570711537,3.115911073439122,1.0484990876646607
